Movie,Reaction
The Art of Crime ,"{'neg': 0.11213333333333335, 'neu': 0.7393333333333334, 'pos': 0.1484666666666667, 'compound': 0.014073333333333337}"
Eat My Dust ,"{'neg': 0.0358, 'neu': 0.8956, 'pos': 0.0686, 'compound': 0.0918}"
Killing Stone Movieclips Trailers ,"{'neg': 0.147625, 'neu': 0.7146875, 'pos': 0.13768750000000002, 'compound': 0.033518750000000014}"
Blue Sunshine ,"{'neg': 0.052, 'neu': 0.6648571428571427, 'pos': 0.28314285714285714, 'compound': 0.29105}"
Tess ,"{'neg': 0.07992857142857143, 'neu': 0.5320714285714285, 'pos': 0.38799999999999996, 'compound': 0.3415714285714286}"
The Babysitter ,"{'neg': 0.1098888888888889, 'neu': 0.7146666666666666, 'pos': 0.17555555555555558, 'compound': 0.1422}"
The Meal ,"{'neg': 0.1642727272727273, 'neu': 0.7544545454545454, 'pos': 0.08127272727272727, 'compound': -0.17940909090909088}"
The River Niger ,"{'neg': 0.0625, 'neu': 0.7169999999999999, 'pos': 0.22052941176470586, 'compound': 0.16019117647058828}"
Sebastiane ,"{'neg': 0.09942857142857142, 'neu': 0.6269285714285714, 'pos': 0.27364285714285713, 'compound': 0.19922142857142858}"
Scorchy ,"{'neg': 0.024066666666666667, 'neu': 0.9036000000000001, 'pos': 0.07239999999999999, 'compound': 0.13937333333333335}"
The Savage Bees ,"{'neg': 0.031, 'neu': 0.969, 'pos': 0.0, 'compound': -0.16605}"
The Hiding Place ,"{'neg': 0.1397, 'neu': 0.7221000000000002, 'pos': 0.138225, 'compound': -0.06767749999999997}"
Patrick ,"{'neg': 0.10923529411764706, 'neu': 0.814, 'pos': 0.07682352941176471, 'compound': -0.11200588235294118}"
"Give 'em Hell, Harry! ","{'neg': 0.03472413793103449, 'neu': 0.7345172413793104, 'pos': 0.2307241379310345, 'compound': 0.26412068965517244}"
The Super Cops ,"{'neg': 0.0841, 'neu': 0.7130666666666667, 'pos': 0.20286666666666667, 'compound': 0.17201333333333338}"
Nocturna ,"{'neg': 0.0, 'neu': 0.6675000000000001, 'pos': 0.3325, 'compound': 0.4280833333333333}"
Sgt. Pepper's Lonely Hearts ,"{'neg': 0.05026666666666667, 'neu': 0.7646, 'pos': 0.15180000000000002, 'compound': 0.13204}"
Love Among the Ruins ,"{'neg': 0.07345454545454545, 'neu': 0.5985909090909091, 'pos': 0.32795454545454544, 'compound': 0.22376818181818176}"
March or Die ,"{'neg': 0.13777777777777778, 'neu': 0.6331111111111112, 'pos': 0.2291111111111111, 'compound': 0.19245555555555552}"
"Oh, God! ","{'neg': 0.09350000000000001, 'neu': 0.7321666666666666, 'pos': 0.17433333333333334, 'compound': 0.0705}"
The Bugs Bunny/Road-Runner Movie ,"{'neg': 0.0, 'neu': 0.8502000000000001, 'pos': 0.1498, 'compound': 0.14728}"
The Sentinel ,"{'neg': 0.03438461538461538, 'neu': 0.7463076923076921, 'pos': 0.2193846153846154, 'compound': 0.25699230769230774}"
The Land That Time Forgot ,"{'neg': 0.02954545454545454, 'neu': 0.8215454545454546, 'pos': 0.14895454545454545, 'compound': 0.21839545454545453}"
Killer ,"{'neg': 0.08376470588235294, 'neu': 0.8391176470588234, 'pos': 0.07711764705882353, 'compound': -0.022094117647058858}"
She Came to the Valley ,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.6249}"
Three Warriors ,"{'neg': 0.05427272727272727, 'neu': 0.8659090909090907, 'pos': 0.07981818181818182, 'compound': 0.04992727272727273}"
"Good Luck, Miss Wyckoff ","{'neg': 0.2955, 'neu': 0.42425, 'pos': 0.03025, 'compound': -0.367825}"
Jackson County Jail ,"{'neg': 0.20366666666666666, 'neu': 0.6496666666666667, 'pos': 0.14666666666666667, 'compound': -0.13868333333333335}"
Moonraker ,"{'neg': 0.08651162790697674, 'neu': 0.7204186046511628, 'pos': 0.19309302325581398, 'compound': 0.13161162790697675}"
Report to the Commissioner ,"{'neg': 0.09066666666666667, 'neu': 0.7080000000000001, 'pos': 0.20133333333333334, 'compound': 0.20295}"
Dummy ,"{'neg': 0.0, 'neu': 0.6325, 'pos': 0.36750000000000005, 'compound': 0.42969999999999997}"
Nightwing ,"{'neg': 0.04764705882352942, 'neu': 0.6255294117647059, 'pos': 0.268, 'compound': 0.22721764705882352}"
The Monkey Hu$tle ,"{'neg': 0.10951428571428572, 'neu': 0.8116285714285715, 'pos': 0.07885714285714286, 'compound': -0.06797428571428572}"
The Hunted Lady ,"{'neg': 0.0084375, 'neu': 0.6901875, 'pos': 0.301375, 'compound': 0.29361250000000005}"
One in a Million ,"{'neg': 0.159, 'neu': 0.7, 'pos': 0.13999999999999999, 'compound': 0.16385}"
The Man Who Fell to Earth ,"{'neg': 0.11652, 'neu': 0.8171599999999998, 'pos': 0.06624000000000001, 'compound': -0.07070800000000001}"
Logan's Run ,"{'neg': 0.08411111111111111, 'neu': 0.7931111111111111, 'pos': 0.12277777777777778, 'compound': 0.07054444444444444}"
House Calls ,"{'neg': 0.0, 'neu': 0.8645, 'pos': 0.1355, 'compound': 0.1909}"
French Quarter ,"{'neg': 0.10333333333333333, 'neu': 0.5633333333333334, 'pos': 0.0, 'compound': -0.13396666666666665}"
The Reincarnation of Peter Proud ,"{'neg': 0.021241379310344824, 'neu': 0.7485862068965518, 'pos': 0.23013793103448274, 'compound': 0.30537931034482757}"
Terraces ,"{'neg': 0.10248275862068966, 'neu': 0.7189655172413792, 'pos': 0.17851724137931033, 'compound': 0.07670000000000002}"
Red Alert ,"{'neg': 0.09304545454545456, 'neu': 0.6254545454545455, 'pos': 0.28150000000000003, 'compound': 0.19954090909090913}"
Wizards ,"{'neg': 0.05994117647058823, 'neu': 0.7528235294117646, 'pos': 0.18723529411764708, 'compound': 0.14933529411764704}"
A Small Town in Texas ,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.2023}"
Survival of Dana ,"{'neg': 0.024363636363636365, 'neu': 0.7316363636363636, 'pos': 0.2440909090909091, 'compound': 0.32813636363636367}"
Love and Death ,"{'neg': 0.0, 'neu': 0.2105, 'pos': 0.7895, 'compound': 0.7068000000000001}"
Dark August ,"{'neg': 0.0787, 'neu': 0.77785, 'pos': 0.1434, 'compound': 0.16526000000000002}"
Death Car ,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.5411}"
Hearts of the West ,"{'neg': 0.0, 'neu': 0.8205, 'pos': 0.1795, 'compound': 0.21075}"
Nasty Habits ,"{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.05103333333333334}"
